ipFormat,size,shortened,hasEmail,urlInUrl,keyWord,vowelsCount,dotsCount,hyphenCount,underscoreCount,slashCount,doubleSlashCount,atCount,percentCount,shannonEntropy,relativeEntropy
0,-0.0926104705772157,0,0,0,0,0.2347700333091477,-1.0809870066639458,-0.47800965241312665,-0.2951418637160047,1.4401152362313374,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.058574863428245395,-0.7506145889273915
0,2.6925809125640208,0,1,1,0,-0.637811010817763,4.029952269627978,-0.47800965241312665,10.680486207033077,4.096604637904722,7.489961035723719,6.287959035349584,-0.08394959226701337,1.591101837214306,-0.3249299358994617
0,0.1605887460719876,0,0,0,0,-0.637811010817763,0.37928135799088974,0.0011319295400065374,1.5341294814088422,0.37751947556198373,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,0.9751568080238323,-0.02304981500602017
0,1.2095569293329727,0,0,0,1,3.143373513732183,1.1094155403183075,0.0011319295400065374,1.5341294814088422,0.37751947556198373,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,1.475149223461113,-0.679006507017856
0,-0.40006666222267684,0,0,0,0,0.8164907293937549,1.1094155403183075,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.34117991554541355,0.11677808661892634
0,0.17867440440407353,0,1,0,0,0.8164907293937549,1.8395497226457254,0.48027351149313974,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,6.287959035349584,-0.08394959226701337,0.9816648470345724,-0.9181213774733522
0,-0.4543236372189347,0,0,0,0,-1.2195317069023701,-0.35085282433652804,-0.47800965241312665,-0.2951418637160047,0.37751947556198373,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.31238423729266734,0.6579632996051729
0,-0.3096383705622471,0,0,0,0,1.1073510774360584,-0.35085282433652804,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.5189185391586515,-0.9691028016690338
0,-0.6532658788718801,0,0,0,1,-0.9286713588600666,-1.0809870066639458,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.7014019526697104,0.9666285747571545
0,-0.5809232455435364,0,0,0,0,-0.05609031473315586,-0.35085282433652804,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.1164303420612233,0.2516278278487341
0,-0.0926104705772157,0,0,0,0,-0.34695066277545944,-0.35085282433652804,-0.47800965241312665,-0.2951418637160047,0.37751947556198373,-0.06811460239091896,-0.14292094809653638,1.9618071028709307,1.2100234707153452,4.155964376413006
0,0.9744433710158553,0,0,0,0,0.5256303813514512,0.37928135799088974,1.4385566753994061,-0.2951418637160047,0.9088173558966607,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,0.5747065141762512,-1.574736403649715
0,-0.29155271223016116,0,0,0,1,0.8164907293937549,-1.0809870066639458,-0.47800965241312665,-0.2951418637160047,0.9088173558966607,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.27646750779061674,-0.48987954335977807
0,0.17867440440407353,0,0,0,0,0.5256303813514512,1.1094155403183075,0.48027351149313974,-0.2951418637160047,0.37751947556198373,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,0.6318584166371459,-0.8450389728781781
0,-0.1649531039055595,0,0,0,0,-0.05609031473315586,-0.35085282433652804,-0.47800965241312665,-0.2951418637160047,1.4401152362313374,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.11085300651793101,-0.023420270105919187
0,0.01590347941529999,0,1,0,0,-0.05609031473315586,1.8395497226457254,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,6.287959035349584,-0.08394959226701337,0.8468071280554,-0.4606862667559296
0,-0.4904949538831066,0,0,0,0,-0.05609031473315586,-0.35085282433652804,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-0.3718214677691621,-0.19685752768268572
0,-0.5809232455435364,0,0,0,0,-1.2195317069023701,0.37928135799088974,-0.47800965241312665,-0.2951418637160047,-0.6850762851073701,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,-1.013754451940209,1.0373519488982343
0,-0.02026783724887191,0,0,0,0,-0.9286713588600666,0.37928135799088974,0.0011319295400065374,-0.2951418637160047,1.4401152362313374,-0.06811460239091896,-0.14292094809653638,-0.08394959226701337,0.5896530000021186,0.05780454520275954
